"N_AC","meanX_AC","Method","Bias","Bias.MCSE","LCI","LCI.MCSE","UCI","UCI.MCSE","VR","VR.MCSE","Cov","Cov.MCSE","ESE","ESE.MCSE","MSE","MSE.MCSE","MAE","MAE.MCSE","number.NAs","negative.vars"
200,0.45,"MAIC",-0.0201846606876873,0.00902388210652145,-0.819461802611658,0.00934258801563237,0.779092481236283,0.00877074201244144,1.01051064153061,0.0160152659947606,0.95,0.00487339717240448,0.403560276222519,0.00638244404066068,0.163186886623601,0.00554773839795602,0.31882349029343,0.005548389554067,0,NA
200,0.45,"STC",-0.205983109182429,0.0101002338825355,-1.08595800702117,0.0111237595942141,0.673991788656311,0.00921413485034799,0.993975693351163,0.0158133065336989,0.94,0.0053103672189407,0.451696190999918,0.00714373002571478,0.246356475507813,0.00852204871922399,0.391571550618884,0.00682183016574536,0,NA
200,0.45,"G-comp (ML)",-0.014618312521384,0.0084652888933144,-0.77155245433434,0.00872781762684097,0.742315829291572,0.00830244562879361,1.02012460350915,0.0161837293600791,0.9575,0.00451075104611194,0.378579228292499,0.00598736020836966,0.14346426603947,0.00476172966379282,0.301485088857629,0.00512822122616224,0,NA
200,0.45,"G-comp (Bayes)",-0.014708658099868,0.00844957339702503,-0.762493899012521,0.00869580107045217,0.733076582812785,0.00826796705395526,1.00966898905253,0.0160020663411463,0.9545,0.00465992220965114,0.377876409932436,0.00597624489519801,0.142935530515933,0.00476347578626518,0.301013025502928,0.00511629091365122,0,NA
400,0.45,"MAIC",0.00416229274760578,0.00704426012504671,-0.610638554140634,0.00710397608223952,0.618963139635845,0.00700862494167873,0.995717140717961,0.0157619300710523,0.9515,0.00480352734977121,0.315028889815912,0.00498228983105578,0.0992109044988537,0.00318065099029558,0.250778309472576,0.00426258804329935,0,NA
400,0.45,"STC",-0.164198277573675,0.00776017363756058,-0.82433454055898,0.00809712784618712,0.49593798541163,0.00746592760248882,0.970507872362422,0.0153792644146436,0.9185,0.0061179142687684,0.347045515415745,0.00548864373480087,0.147341443833457,0.00455467957493686,0.308477239934466,0.00510927298871101,0,NA
400,0.45,"G-comp (ML)",-0.00330253200401917,0.0068237733722983,-0.590570584575514,0.00685213158061013,0.583965520567475,0.00682566195047723,0.981858020625094,0.0155470230316217,0.9455,0.00507591124823908,0.305168422470239,0.00482634316148363,0.0930921089075756,0.00296432808816523,0.243007886590171,0.00412651815182071,0,NA
400,0.45,"G-comp (Bayes)",-0.00312519080170455,0.00680725759491104,-0.607352626392368,0.0068427012143811,0.601102244788959,0.0067934605263416,1.01266352389605,0.0160286003763224,0.952,0.00477995815881269,0.304429814451456,0.00481466182259668,0.0926409399885317,0.00297349946349688,0.242292231715446,0.00412021787252794,0,NA
600,0.45,"MAIC",-0.00597024997918486,0.00632153142347483,-0.549336681542643,0.00630351724044949,0.537396181584274,0.00635508494756928,0.980635056854883,0.0155194670620478,0.9415,0.0052477495176504,0.282707479695815,0.00447111565569413,0.0799192012012354,0.00250090278649902,0.224431105375108,0.00384477973833214,0,NA
600,0.45,"STC",-0.163270218537662,0.00670477543531694,-0.739339398000385,0.00683391127756709,0.412798960925061,0.00659840472192268,0.980228476757334,0.0155182019262593,0.909,0.00643113520305708,0.299846672944788,0.00474217786934305,0.116520237523757,0.00364993674286313,0.273667331057281,0.00456329119508456,0,NA
600,0.45,"G-comp (ML)",-0.0106991509848562,0.00602104881888123,-0.533037209043482,0.00597005287430902,0.511638907073769,0.00608905713145799,0.989729312366081,0.0156650651951632,0.95,0.00487339717240448,0.269269489097265,0.00425858923010789,0.0725842765616195,0.00222632312823173,0.215031470244894,0.00363035279465732,0,NA
600,0.45,"G-comp (Bayes)",-0.0112570585350724,0.00602474718202555,-0.558082172988678,0.00599074741633937,0.535568055918533,0.00607229695520098,1.03549149567644,0.0163857748709333,0.9595,0.00440793318914885,0.269434884925189,0.00426120502179622,0.0726855810029043,0.00222269590109793,0.21545338197045,0.00362481451116052,0,NA
200,0.3,"MAIC",-0.0610775981967002,0.0121045639884132,-1.08708925152308,0.0126020253889522,0.964934055129676,0.0119953177302044,0.967030237589146,0.0154335177291467,0.938,0.00539240206216117,0.541332558321758,0.00856135988709463,0.296624891231307,0.00995559177121485,0.434825947129775,0.00733502179542573,0,NA
200,0.3,"STC",-0.241171218511176,0.0124800328107194,-1.28728598817896,0.0137467389425378,0.804943551156606,0.0114149520014047,0.956314008995171,0.0152314072213216,0.938,0.00539240206216117,0.558124034523928,0.00882692283650977,0.369510243332476,0.0120889137311258,0.485270150827604,0.00818810628695049,0,NA
200,0.3,"G-comp (ML)",-0.0424668276896345,0.0102596038846647,-0.928510806634129,0.0105255217443678,0.84357715125486,0.0102127685818981,0.985284376997131,0.01567297708073,0.9455,0.00507591124823908,0.458823434166624,0.00725644981840963,0.212217115722605,0.00660102490494747,0.37038644611187,0.00612652146509281,0,NA
200,0.3,"G-comp (Bayes)",-0.0441851124460405,0.0101961765931426,-0.906163730266768,0.0104326024442615,0.817793505374686,0.0101018652502572,0.964486282844347,0.015314356046501,0.942,0.00522666241496426,0.45598687945718,0.00721158873378861,0.209772396381847,0.00651346145970342,0.368255504771431,0.00609086932533133,0,NA
400,0.3,"MAIC",-0.0135095620520479,0.00889989857559604,-0.777920988459085,0.00905811704410331,0.750901864354989,0.00888270802660698,0.979893832054481,0.0155644265788182,0.9415,0.0052477495176504,0.398015564157726,0.00629475251956656,0.158519689383975,0.00513952777137765,0.317309053160244,0.00537882821623373,0,NA
